<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,130800,94738.0000000,94777.0000000,94732.0000000,94748.0000000,2668
SPFB.Si-9.23,1,20230912,130900,94747.0000000,94752.0000000,94731.0000000,94736.0000000,662
SPFB.Si-9.23,1,20230912,131000,94735.0000000,94750.0000000,94723.0000000,94749.0000000,535
SPFB.Si-9.23,1,20230912,131100,94749.0000000,94765.0000000,94721.0000000,94754.0000000,780
SPFB.Si-9.23,1,20230912,131200,94758.0000000,94789.0000000,94743.0000000,94786.0000000,1491
SPFB.Si-9.23,1,20230912,131300,94786.0000000,94812.0000000,94783.0000000,94798.0000000,1930
SPFB.Si-9.23,1,20230912,131400,94801.0000000,94804.0000000,94773.0000000,94791.0000000,424
SPFB.Si-9.23,1,20230912,131500,94794.0000000,94804.0000000,94777.0000000,94784.0000000,658
SPFB.Si-9.23,1,20230912,131600,94781.0000000,94845.0000000,94771.0000000,94809.0000000,2645
SPFB.Si-9.23,1,20230912,131700,94810.0000000,94810.0000000,94797.0000000,94801.0000000,233
SPFB.Si-9.23,1,20230912,131800,94800.0000000,94800.0000000,94776.0000000,94779.0000000,478
SPFB.Si-9.23,1,20230912,131900,94775.0000000,94775.0000000,94732.0000000,94734.0000000,821
SPFB.Si-9.23,1,20230912,132000,94734.0000000,94776.0000000,94733.0000000,94772.0000000,787
